,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean,target_scan_file
69,2,MC_dropout_quicknat_UKB_v2,1017786_20201_2_0,10,,,0.6034976631991558,0.8915574363624705,0.7475275497808131,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
70,2,MC_dropout_quicknat_UKB_v2,1017955_20201_2_0,10,,,0.7958921694480102,0.4505958935164194,0.6232440314822149,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
71,2,MC_dropout_quicknat_UKB_v2,1017955_20201_2_0,10,,,0.40375415973377693,0.7881516674953502,0.5959529136145636,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
72,2,MC_dropout_quicknat_UKB_v2,1018320_20201_2_0,10,,,0.634993878896318,0.7763604188172836,0.7056771488568008,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
73,2,MC_dropout_quicknat_UKB_v2,1019040_20201_2_0,10,,,0.5395708154506438,0.7724023200395665,0.6559865677451051,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
74,2,MC_dropout_quicknat_UKB_v2,1019158_20201_2_0,10,,,0.8370464349149962,0.7478828510938603,0.7924646430044282,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
75,2,MC_dropout_quicknat_UKB_v2,1019487_20201_2_0,10,,,0.7213553873970401,0.7896516715238366,0.7555035294604384,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
76,2,MC_dropout_quicknat_UKB_v2,1019510_20201_2_0,10,,,0.7422976175626793,0.8397267855062333,0.7910122015344563,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
77,2,MC_dropout_quicknat_UKB_v2,1019542_20201_2_0,10,,,0.8490452949738847,0.881680409046939,0.8653628520104119,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
78,2,MC_dropout_quicknat_UKB_v2,1019631_20201_2_0,10,,,0.8744588744588745,0.8923653189379751,0.8834120966984248,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
79,2,MC_dropout_quicknat_UKB_v2,1020371_20201_2_0,10,,,0.6250645327826536,0.8092264126092109,0.7171454726959323,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
80,2,MC_dropout_quicknat_UKB_v2,1020508_20201_2_0,10,,,0.4089130160333291,0.7835176629800737,0.5962153395067015,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
81,2,MC_dropout_quicknat_UKB_v2,1021153_20201_2_0,10,,,0.7328452797202797,0.8428129544562684,0.7878291170882741,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
82,2,MC_dropout_quicknat_UKB_v2,1021479_20201_2_0,10,,,0.8719117512991157,0.8743470390483579,0.8731293951737368,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
83,2,MC_dropout_quicknat_UKB_v2,1021573_20201_2_0,10,,,0.8382601351351351,0.8291605534257813,0.8337103442804582,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
84,2,MC_dropout_quicknat_UKB_v2,1021573_20201_2_0,10,,,0.6522826766729206,0.8647837997156628,0.7585332381942917,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
85,2,MC_dropout_quicknat_UKB_v2,1021957_20201_2_0,10,,,0.8085120964978412,0.8529187578574328,0.8307154271776369,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
86,2,MC_dropout_quicknat_UKB_v2,1022295_20201_2_0,10,,,0.5382890458571589,0.7332883824421819,0.6357887141496703,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
87,2,MC_dropout_quicknat_UKB_v2,1022493_20201_2_0,10,,,0.7717635830663303,0.8915092900509504,0.8316364365586404,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
88,2,MC_dropout_quicknat_UKB_v2,1022599_20201_2_0,10,,,0.740435215474328,0.8388722679910984,0.7896537417327132,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
89,2,MC_dropout_quicknat_UKB_v2,1022792_20201_2_0,10,,,0.7145857642940492,0.8378533030161575,0.7762195336551032,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
90,2,MC_dropout_quicknat_UKB_v2,1022975_20201_2_0,10,,,0.8016425120772946,0.8378204476954858,0.8197314798863902,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
91,2,MC_dropout_quicknat_UKB_v2,1023379_20201_2_0,10,,,0.6746958755391848,0.7849117028922875,0.7298037892157361,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
92,2,MC_dropout_quicknat_UKB_v2,1023379_20201_2_0,10,,,0.5748735244519393,0.44133297951088707,0.5081032519814132,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
93,2,MC_dropout_quicknat_UKB_v2,1023783_20201_2_0,10,,,0.7223883903844024,0.7548329226423071,0.7386106565133548,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
94,2,MC_dropout_quicknat_UKB_v2,1024128_20201_2_0,10,,,0.7923090876111011,0.7971106037773306,0.7947098456942159,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
95,2,MC_dropout_quicknat_UKB_v2,1024167_20201_2_0,10,,,0.8042370181586492,0.877360390191516,0.8407987041750826,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
96,2,MC_dropout_quicknat_UKB_v2,1024190_20201_2_0,10,,,0.8374443620178041,0.8908389120077197,0.8641416370127619,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
